[00:11:48] ,defensive_assist,483.43,1팀,Fielder,미즈키,0
[00:11:49] ,ultimate_charged,484.12,2팀,Jasm1ne,D.Va,0,5
[00:11:52] ,****,487.79,1팀,SP1NT,겐지,2팀,Jasm1ne,D.Va,Ability 1,14.30,0,0
[00:11:52] ,remech_charged,487.79,2팀,Jasm1ne,D.Va,0,6
[00:11:53] ,defensive_assist,488.14,1팀,Fielder,미즈키,0
[00:11:55] ,ultimate_charged,490.52,2팀,Proud,엠레,0,3
[00:12:02] ,ultimate_start,497.01,1팀,MER1T,엠레,0,3
[00:12:02] ,hero_swap,497.48,2팀,skewed,미즈키,키리코,252.43
[00:12:03] ,ultimate_start,498.09,2팀,Proud,엠레,0,3
[00:12:04] ,ultimate_charged,499.93,2팀,Jasm1ne,D.Va,0,7
[00:12:10] ,****,505.28,1팀,HanBin,D.Va,2팀,ZEST,겐지,0,10,0,0
[00:12:10] ,defensive_assist,505.56,1팀,Fielder,미즈키,0
[00:12:10] ,****,505.63,1팀,MER1T,엠레,2팀,Proud,엠레,Ultimate,32.43,0,0
[00:12:10] ,ultimate_end,505.63,2팀,Proud,엠레,0,3
[00:12:11] ,defensive_assist,506.03,1팀,Fielder,미즈키,0
[00:12:12] ,ultimate_end,507.32,1팀,MER1T,엠레,0,3
[00:12:13] ,****,508.60,1팀,HanBin,D.Va,2팀,Bliss,브리기테,Melee,38.29,0,0
[00:12:13] ,defensive_assist,508.86,1팀,Fielder,미즈키,0
[00:12:14] ,****,509.16,1팀,MER1T,엠레,2팀,skewed,미즈키,Primary Fire,11.44,0,0
[00:12:18] ,****,513.23,1팀,MER1T,엠레,2팀,Jasm1ne,D.Va,Primary Fire,27,True,0
[00:12:18] ,remech_charged,513.23,2팀,Jasm1ne,D.Va,0,8
[00:12:18] ,defensive_assist,513.53,1팀,Fielder,미즈키,0
[00:12:19] ,objective_updated,514.70,2,1,2
[00:12:19] ,objective_captured,514.70,2,1팀,2,0,0,210.51
[00:12:22] ,ultimate_charged,517.59,1팀,SP1NT,겐지,0,3
[00:12:25] ,payload_progress,520.38,2,1팀,2,70.02
[00:12:25] ,hero_swap,520.61,2팀,skewed,키리코,미즈키,23.14
[00:12:28] ,hero_swap,523.51,2팀,skewed,라이프위버,키리코,2.89
[00:12:30] ,ultimate_charged,525.35,2팀,Jasm1ne,D.Va,0,9
[00:12:30] ,hero_swap,525.59,1팀,HanBin,라마트라,D.Va,280.54
[00:12:32] ,hero_swap,527.33,2팀,skewed,일리아리,라이프위버,3.82
[00:12:33] ,hero_swap,528.29,2팀,skewed,키리코,일리아리,0.96
[00:12:39] ,ultimate_charged,534.19,1팀,Fielder,미즈키,0,3
[00:12:41] ,payload_progress,536.11,2,1팀,2,80.02
[00:12:48] ,ultimate_charged,543.00,2팀,Bliss,브리기테,0,3
[00:12:48] ,ultimate_start,543.83,1팀,Fielder,미즈키,0,3
[00:12:49] ,ultimate_start,544.59,2팀,Bliss,브리기테,0,3
[00:12:50] ,ultimate_start,545.80,1팀,SP1NT,겐지,0,3
[00:12:55] ,ultimate_end,550.34,1팀,Fielder,미즈키,0,3
[00:12:56] ,****,551.51,2팀,Jasm1ne,D.Va,1팀,Fielder,미즈키,0,14.34,0,0
[00:12:56] ,defensive_assist,551.64,2팀,Bliss,브리기테,0
[00:12:58] ,ultimate_end,553.80,1팀,SP1NT,겐지,0,3
[00:12:59] ,ultimate_end,554.58,2팀,Bliss,브리기테,0,3
[00:13:04] ,****,559.15,1팀,HanBin,라마트라,2팀,Proud,엠레,Ability 1,42.50,0,0
[00:13:06] ,****,561.87,2팀,Jasm1ne,D.Va,1팀,MER1T,엠레,0,2.80,True,0
[00:13:06] ,defensive_assist,561.97,2팀,Bliss,브리기테,0
[00:13:07] ,****,562.03,2팀,skewed,키리코,1팀,SP1NT,겐지,0,44.72,0,0
[00:13:07] ,defensive_assist,562.40,2팀,skewed,키리코,0
[00:13:07] ,defensive_assist,562.43,2팀,Bliss,브리기테,0
[00:13:12] ,ultimate_charged,567.04,2팀,ZEST,겐지,0,3
[00:13:12] ,****,567.33,2팀,ZEST,겐지,1팀,ChiYo,주노,Secondary Fire,24.17,0,0
[00:13:12] ,offensive_assist,567.60,2팀,Bliss,브리기테,0
[00:13:12] ,defensive_assist,567.60,2팀,Bliss,브리기테,0
[00:13:14] ,****,569.31,2팀,ZEST,겐지,1팀,HanBin,라마트라,Secondary Fire,15.72,0,0
[00:13:14] ,defensive_assist,569.47,2팀,skewed,키리코,0
[00:13:14] ,offensive_assist,569.47,2팀,Bliss,브리기테,0
[00:13:14] ,defensive_assist,569.47,2팀,Bliss,브리기테,0
[00:13:18] ,hero_swap,573.88,1팀,SP1NT,시메트라,겐지,160.39
[00:13:21] ,hero_swap,576.82,1팀,MER1T,캐서디,엠레,331.78
[00:13:24] ,hero_swap,579.61,2팀,Bliss,루시우,브리기테,334.56
[00:13:34] ,ultimate_start,589.86,2팀,ZEST,겐지,0,3
[00:13:36] ,****,591.23,2팀,ZEST,겐지,1팀,MER1T,캐서디,Ability 1,33.32,0,0
[00:13:36] ,defensive_assist,591.55,2팀,skewed,키리코,0
