[00:05:46] ,ability_2_used,222.78,1팀,Viol2t,루시우,0
[00:05:46] ,ultimate_start,223.44,1팀,Viol2t,루시우,0,2
[00:05:46] ,ultimate_start,223.49,1팀,Proper,시온,0,1
[00:05:47] ,ability_2_used,223.66,2팀,ChiYo,루시우,0
[00:05:47] ,ability_1_used,224.05,1팀,knife,소전,0
[00:05:47] ,ability_1_used,224.11,1팀,shu,키리코,0
[00:05:47] ,****,224.13,2팀,MER1T,소전,1팀,knife,소전,Secondary Fire,8.46,0,0
[00:05:47] ,ability_2_used,224.21,1팀,Bernar,마우가,0
[00:05:47] ,ability_2_used,224.21,2팀,MER1T,소전,0
[00:05:47] ,defensive_assist,224.30,2팀,Fielder,키리코,0
[00:05:47] ,ability_2_used,224.58,1팀,shu,키리코,0
[00:05:48] ,ability_1_used,225.02,2팀,Someone,마우가,0
[00:05:48] ,ability_1_used,225.17,2팀,ChiYo,루시우,0
[00:05:48] ,ability_2_used,225.23,2팀,Fielder,키리코,0
[00:05:49] ,ability_1_used,226.37,2팀,Fielder,키리코,0
[00:05:50] ,ultimate_end,226.99,1팀,Proper,시온,0,1
[00:05:50] ,ability_1_used,227.06,1팀,Bernar,마우가,0
[00:05:50] ,ability_1_used,227.49,1팀,Proper,시온,0
[00:05:50] ,ability_1_used,227.60,2팀,ChiYo,루시우,0
[00:05:52] ,ability_1_used,228.64,2팀,MER1T,소전,0
[00:05:52] ,ability_1_used,228.88,1팀,Viol2t,루시우,0
[00:05:52] ,ability_1_used,229.04,2팀,ChiYo,루시우,0
[00:05:53] ,****,229.81,2팀,MER1T,소전,1팀,Bernar,마우가,Primary Fire,5.46,0,0
[00:05:53] ,offensive_assist,229.91,2팀,ChiYo,루시우,0
[00:05:53] ,defensive_assist,229.91,2팀,ChiYo,루시우,0
[00:05:53] ,offensive_assist,229.94,2팀,Fielder,키리코,0
[00:05:53] ,defensive_assist,229.94,2팀,Fielder,키리코,0
[00:05:53] ,ability_1_used,230.07,2팀,CheckMate,리퍼,0
[00:05:53] ,ultimate_end,230.15,1팀,Viol2t,루시우,0,2
[00:05:53] ,ability_1_used,230.26,2팀,Someone,마우가,0
[00:05:53] ,ability_1_used,230.51,1팀,Viol2t,루시우,0
[00:05:53] ,ability_1_used,230.51,2팀,ChiYo,루시우,0
[00:05:54] ,ability_2_used,231.36,2팀,Someone,마우가,0
[00:05:54] ,ultimate_charged,231.44,2팀,Someone,마우가,0,2
[00:05:56] ,ability_1_used,232.64,1팀,Viol2t,루시우,0
[00:05:56] ,ultimate_end,232.93,2팀,Fielder,키리코,0,2
[00:05:56] ,****,232.98,2팀,Someone,마우가,1팀,Viol2t,루시우,0,3.58,0,0
[00:05:56] ,****,233.22,2팀,ChiYo,루시우,1팀,shu,키리코,Secondary Fire,22.00,0,0
[00:05:56] ,offensive_assist,233.24,2팀,Fielder,키리코,0
[00:05:56] ,offensive_assist,233.24,2팀,Fielder,키리코,0
[00:05:56] ,defensive_assist,233.24,2팀,Fielder,키리코,0
[00:05:56] ,defensive_assist,233.24,2팀,Fielder,키리코,0
[00:05:56] ,ability_2_used,233.30,2팀,Fielder,키리코,0
