[00:04:41] ,ability_2_used,202.50,1팀,Fielder,브리기테,0
[00:04:42] ,ability_1_used,203.43,1팀,HanBin,마우가,0
[00:04:43] ,ultimate_start,204.14,1팀,Fielder,브리기테,0,1
[00:04:44] ,ability_2_used,205.19,2팀,MAX,시그마,0
[00:04:45] ,ultimate_start,205.83,2팀,CH0R0NG,우양,0,1
[00:04:45] ,ability_1_used,206.01,1팀,Fielder,브리기테,0
[00:04:45] ,ability_1_used,206.09,2팀,HeeSang,소전,0
[00:04:45] ,ability_1_used,206.11,1팀,ChiYo,주노,0
[00:04:45] ,ability_2_used,206.12,1팀,MER1T,시온,0
[00:04:45] ,****,206.25,1팀,HanBin,마우가,2팀,MAX,시그마,Ability 1,98.64,True,0
[00:04:45] ,ability_1_used,206.33,1팀,SP1NT,벤데타,0
[00:04:45] ,defensive_assist,206.49,1팀,Fielder,브리기테,0
[00:04:47] ,ability_1_used,207.85,1팀,MER1T,시온,0
[00:04:48] ,ability_2_used,208.87,2팀,STALK3R,시온,0
[00:04:48] ,ability_1_used,209.66,2팀,CH0R0NG,우양,0
[00:04:50] ,ultimate_end,210.83,2팀,CH0R0NG,우양,0,1
[00:04:50] ,ability_2_used,211.50,1팀,Fielder,브리기테,0
[00:04:50] ,ability_1_used,211.64,2팀,vigilante,키리코,0
[00:04:51] ,****,211.84,1팀,MER1T,시온,2팀,STALK3R,시온,Primary Fire,11.31,0,0
[00:04:51] ,ability_2_used,212.19,2팀,CH0R0NG,우양,0
[00:04:51] ,ability_2_used,212.43,1팀,Fielder,브리기테,0
[00:04:51] ,ultimate_charged,212.57,1팀,MER1T,시온,0,2
[00:04:51] ,ability_1_used,212.64,1팀,HanBin,마우가,0
[00:04:52] ,ultimate_start,213.00,1팀,MER1T,시온,0,2
[00:04:53] ,ability_1_used,213.96,1팀,Fielder,브리기테,0
[00:04:53] ,ultimate_end,214.14,1팀,Fielder,브리기테,0,1
[00:04:53] ,****,214.19,2팀,vigilante,키리코,1팀,MER1T,시온,0,29.38,0,0
[00:04:53] ,ultimate_end,214.19,1팀,MER1T,시온,0,2
[00:04:53] ,ability_2_used,214.20,2팀,vigilante,키리코,0
[00:04:53] ,ability_2_used,214.27,1팀,SP1NT,벤데타,0
[00:04:53] ,defensive_assist,214.36,2팀,vigilante,키리코,0
[00:04:54] ,ability_1_used,215.07,2팀,HeeSang,소전,0
[00:04:54] ,****,215.40,1팀,HanBin,마우가,2팀,HeeSang,소전,0,7.30,True,0
[00:04:55] ,offensive_assist,215.84,1팀,Fielder,브리기테,0
[00:04:55] ,defensive_assist,215.84,1팀,Fielder,브리기테,0
[00:04:55] ,ability_1_used,216.62,1팀,ChiYo,주노,0
[00:04:56] ,ability_2_used,217.13,1팀,Fielder,브리기테,0
[00:04:56] ,ability_1_used,217.41,1팀,SP1NT,벤데타,0
[00:04:56] ,ability_2_used,217.44,1팀,HanBin,마우가,0
[00:04:56] ,ability_2_used,217.63,1팀,Fielder,브리기테,0
[00:04:57] ,ability_2_used,218.03,1팀,ChiYo,주노,0
[00:04:57] ,****,218.46,2팀,CH0R0NG,우양,1팀,ChiYo,주노,0,2.00,0,0
[00:04:57] ,defensive_assist,218.59,2팀,vigilante,키리코,0
[00:04:58] ,ability_1_used,218.80,2팀,STALK3R,시온,0
[00:04:58] ,****,219.20,1팀,SP1NT,벤데타,2팀,CH0R0NG,우양,Ability 1,28,0,0
[00:04:58] ,ability_2_used,219.45,2팀,STALK3R,시온,0
[00:04:58] ,defensive_assist,219.60,1팀,Fielder,브리기테,0
[00:04:58] ,hero_swap,219.73,2팀,MAX,해저드,시그마,219.73
[00:04:59] ,ability_1_used,220.25,2팀,MAX,해저드,0
[00:05:00] ,ability_1_used,221.54,1팀,HanBin,마우가,0
[00:05:01] ,ability_2_used,222.29,1팀,Fielder,브리기테,0
[00:05:01] ,ability_1_used,222.37,2팀,vigilante,키리코,0
[00:05:03] ,ability_1_used,224.43,1팀,Fielder,브리기테,0
[00:05:05] ,ability_1_used,226.72,1팀,ChiYo,주노,0
[00:05:05] ,ability_1_used,226.74,1팀,MER1T,시온,0
[00:05:06] ,ability_2_used,227.14,1팀,MER1T,시온,0
[00:05:06] ,ability_2_used,227.19,1팀,ChiYo,주노,0
