[00:04:28] ,ability_1_used,175.87,2팀,MAX,라마트라,0
[00:04:28] ,ability_1_used,176.06,2팀,HeeSang,트레이서,0
[00:04:28] ,****,176.57,1팀,Fielder,키리코,2팀,vigilante,키리코,0,55.10,0,0
[00:04:28] ,offensive_assist,176.77,1팀,ChiYo,브리기테,0
[00:04:28] ,defensive_assist,176.77,1팀,ChiYo,브리기테,0
[00:04:28] ,defensive_assist,176.78,1팀,Fielder,키리코,0
[00:04:29] ,ultimate_end,176.94,1팀,ChiYo,브리기테,0,1
[00:04:29] ,****,177.17,2팀,HeeSang,트레이서,1팀,ChiYo,브리기테,Primary Fire,4.44,0,0
[00:04:29] ,defensive_assist,177.29,2팀,vigilante,키리코,0
[00:04:29] ,offensive_assist,177.33,2팀,CH0R0NG,루시우,0
[00:04:29] ,defensive_assist,177.33,2팀,CH0R0NG,루시우,0
[00:04:29] ,ability_1_used,177.47,2팀,HeeSang,트레이서,0
[00:04:30] ,ability_1_used,178.54,1팀,CheckMate,트레이서,0
