[00:04:14] ,ability_1_used,135.23,1팀,Risk,마우가,0
[00:04:14] ,****,135.23,1팀,Risk,마우가,2팀,ChiYo,브리기테,0,1.05,0,0
[00:04:14] ,offensive_assist,135.48,1팀,FiNN,키리코,0
[00:04:14] ,defensive_assist,135.48,1팀,FiNN,키리코,0
[00:04:14] ,point_progress,135.48,1,1팀,0,33.36
[00:04:15] ,ultimate_charged,136.01,1팀,AlphaYi,벤데타,0,1
[00:04:15] ,ability_1_used,136.27,1팀,kellex,루시우,0
[00:04:16] ,ability_1_used,136.91,2팀,Someone,라마트라,0
[00:04:16] ,ability_1_used,137.15,2팀,MER1T,소전,0
[00:04:16] ,ability_2_used,137.26,1팀,Risk,마우가,0
[00:04:17] ,ability_2_used,138.70,1팀,kellex,루시우,0
[00:04:18] ,ability_1_used,139.07,1팀,FiNN,키리코,0
[00:04:18] ,ability_1_used,139.37,2팀,Fielder,키리코,0
[00:04:18] ,ability_2_used,139.82,2팀,Fielder,키리코,0
[00:04:19] ,ability_1_used,140.17,1팀,LBBD7,시온,0
[00:04:19] ,ability_1_used,140.51,1팀,kellex,루시우,0
[00:04:20] ,ability_1_used,141.44,1팀,kellex,루시우,0
[00:04:20] ,****,141.52,1팀,LBBD7,시온,2팀,MER1T,소전,Primary Fire,28.35,0,0
[00:04:20] ,ultimate_end,141.52,2팀,MER1T,소전,0,1
[00:04:20] ,offensive_assist,141.55,1팀,kellex,루시우,0
[00:04:20] ,defensive_assist,141.55,1팀,kellex,루시우,0
[00:04:20] ,ability_2_used,141.57,1팀,FiNN,키리코,0
[00:04:21] ,ability_2_used,141.94,1팀,LBBD7,시온,0
[00:04:21] ,offensive_assist,141.98,1팀,FiNN,키리코,0
[00:04:21] ,defensive_assist,141.98,1팀,FiNN,키리코,0
[00:04:22] ,ability_1_used,143.09,2팀,SP1NT,트레이서,0
[00:04:23] ,****,143.92,1팀,FiNN,키리코,2팀,Fielder,키리코,Melee,9.61,0,0
[00:04:23] ,defensive_assist,144.34,1팀,FiNN,키리코,0
[00:04:23] ,ultimate_end,144.34,1팀,FiNN,키리코,0,1
[00:04:23] ,offensive_assist,144.38,1팀,kellex,루시우,0
[00:04:23] ,defensive_assist,144.38,1팀,kellex,루시우,0
[00:04:23] ,ability_1_used,144.46,1팀,Risk,마우가,0
[00:04:23] ,ability_1_used,144.83,1팀,AlphaYi,벤데타,0
[00:04:24] ,ability_1_used,145.50,1팀,FiNN,키리코,0
[00:04:25] ,****,146.19,2팀,SP1NT,트레이서,1팀,AlphaYi,벤데타,Primary Fire,1.19,0,0
[00:04:25] ,ability_1_used,146.34,2팀,SP1NT,트레이서,0
[00:04:25] ,ability_2_used,146.40,2팀,Someone,라마트라,0
[00:04:25] ,ability_2_used,146.58,2팀,SP1NT,트레이서,0
[00:04:26] ,ability_1_used,147.52,1팀,kellex,루시우,0
[00:04:26] ,ability_1_used,147.62,1팀,LBBD7,시온,0
[00:04:27] ,ability_1_used,148.48,1팀,kellex,루시우,0
[00:04:27] ,ability_1_used,148.72,2팀,SP1NT,트레이서,0
[00:04:28] ,ability_1_used,149.17,2팀,SP1NT,트레이서,0
[00:04:29] ,****,150.11,1팀,LBBD7,시온,2팀,SP1NT,트레이서,Primary Fire,6,0,0
[00:04:29] ,defensive_assist,150.43,1팀,FiNN,키리코,0
[00:04:29] ,offensive_assist,150.51,1팀,kellex,루시우,0
[00:04:29] ,ability_1_used,150.82,1팀,kellex,루시우,0
[00:04:32] ,****,153.06,1팀,Risk,마우가,2팀,Someone,라마트라,0,0.78,0,0
[00:04:32] ,ability_2_used,153.52,1팀,kellex,루시우,0
[00:04:33] ,point_progress,154.07,1,1팀,0,67.20
[00:04:33] ,ultimate_charged,154.47,1팀,kellex,루시우,0,1
[00:04:34] ,ability_1_used,155.01,1팀,kellex,루시우,0
[00:04:34] ,objective_captured,155.38,1,1팀,0,18.57,78.08,0
[00:04:35] ,ability_1_used,156.79,1팀,AlphaYi,벤데타,0
[00:04:36] ,ability_1_used,157.53,2팀,Fielder,키리코,0
[00:04:36] ,ability_1_used,157.69,2팀,MER1T,소전,0
[00:04:38] ,ability_1_used,159.61,2팀,ChiYo,브리기테,0
[00:04:40] ,ability_1_used,160.98,1팀,kellex,루시우,0
[00:04:41] ,ability_1_used,162.68,2팀,SP1NT,트레이서,0
[00:04:41] ,ability_1_used,162.84,2팀,SP1NT,트레이서,0
[00:04:42] ,ability_1_used,163.02,2팀,SP1NT,트레이서,0
[00:04:42] ,ability_1_used,163.45,1팀,LBBD7,시온,0
[00:04:42] ,ability_1_used,163.48,1팀,kellex,루시우,0
[00:04:46] ,ultimate_charged,166.99,2팀,SP1NT,트레이서,0,2
[00:04:47] ,ability_1_used,168.31,1팀,kellex,루시우,0
[00:04:49] ,ability_1_used,170.57,2팀,SP1NT,트레이서,0
[00:04:50] ,ultimate_charged,171.02,2팀,ChiYo,브리기테,0,1
[00:04:50] ,ability_1_used,171.23,1팀,kellex,루시우,0
[00:04:55] ,ability_1_used,176.65,2팀,SP1NT,트레이서,0
[00:04:55] ,ability_2_used,176.67,2팀,Someone,라마트라,0
[00:04:56] ,ability_2_used,177.74,1팀,kellex,루시우,0
[00:04:59] ,ability_2_used,180.45,1팀,AlphaYi,벤데타,0
[00:04:59] ,ability_2_used,180.54,2팀,ChiYo,브리기테,0
[00:04:59] ,ability_1_used,180.67,1팀,kellex,루시우,0
[00:05:00] ,ability_1_used,181.26,1팀,Risk,마우가,0
[00:05:00] ,ability_1_used,181.70,2팀,ChiYo,브리기테,0
[00:05:01] ,ability_1_used,182.11,1팀,kellex,루시우,0
[00:05:01] ,ability_1_used,182.21,2팀,SP1NT,트레이서,0
[00:05:01] ,ability_1_used,182.53,2팀,MER1T,소전,0
[00:05:02] ,ability_1_used,183.26,1팀,kellex,루시우,0
[00:05:03] ,ability_1_used,184.74,1팀,kellex,루시우,0
[00:05:05] ,ability_1_used,186.18,1팀,kellex,루시우,0
[00:05:05] ,ultimate_start,186.35,2팀,Fielder,키리코,0,1
[00:05:06] ,ability_2_used,187.43,2팀,ChiYo,브리기테,0
[00:05:06] ,ability_1_used,187.68,2팀,ChiYo,브리기테,0
[00:05:06] ,ability_1_used,187.76,1팀,kellex,루시우,0
[00:05:06] ,ability_2_used,187.89,1팀,LBBD7,시온,0
[00:05:07] ,ability_2_used,188.07,2팀,SP1NT,트레이서,0
[00:05:07] ,ability_1_used,188.35,2팀,Someone,라마트라,0
[00:05:07] ,ability_2_used,188.37,1팀,AlphaYi,벤데타,0
[00:05:07] ,ultimate_start,188.58,1팀,Risk,마우가,0,1
[00:05:07] ,ability_1_used,188.90,1팀,kellex,루시우,0
[00:05:07] ,ability_2_used,188.90,2팀,Someone,라마트라,0
