[00:06:32] ,player_stat,342.59,3,1팀,MER1T,캐서디,17,11,3,8470.77,949.20,5045.14,0,2215.15,0,3059.48,0,0,0,2,2,2,3,1,6,0,0,12,0.13,0,0,0,215,89,88,0,0,0.50,342.59
[00:06:32] ,player_stat,342.59,3,1팀,HanBin,마우가,18,3,1,7105.96,446,5933.55,1399.96,7495.27,1225.71,10082.54,408.84,8,14,2,2,3,4,0,8,0,0,67,0.08,0,0,0,2202,844,1191,0,0,0.41,342.59
[00:06:32] ,player_stat,342.59,3,2팀,shu,키리코,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:32] ,player_stat,342.59,3,2팀,shu,미즈키,3,0,6,2697.08,0,2697.08,4236.96,1331.66,0,3086.04,0,4,0,2,2,0,0,0,1,0,0,9,0.18,0,0,0,193,49,143,0,0,0.26,342.59
[00:06:32] ,player_stat,342.59,3,1팀,SP1NT,안란,17,9,2,10102.73,570.13,5571.19,0,3675.15,0,4623.81,0,0,0,2,2,3,4,0,4,0,0,12,0.14,0,0,0,273,87,168,0,0,0.34,339.79
[00:06:32] ,player_stat,342.59,3,1팀,SP1NT,시메트라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80
[00:06:32] ,player_stat,342.59,3,1팀,Fielder,키리코,6,0,0,2497,540,1412,3850.06,851.99,0,877.56,0,11,7,1,2,0,0,0,2,0,0,4,0.15,0,0,0,100,26,56,0,0,0.32,192.97
[00:06:32] ,player_stat,342.59,3,1팀,Fielder,주노,2,0,0,1252.98,98.80,358.85,0,541.59,0,579.62,0,0,0,1,1,0,0,0,0,0,0,32,0.06,0,0,0,1129,517,527,0,0,0.50,144.49
[00:06:32] ,player_stat,342.59,3,1팀,Fielder,아나,0,0,0,0,0,0,261.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,0,5,5,1,5.12
[00:06:32] ,player_stat,342.59,3,2팀,Viol2t,주노,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4.78
